#frame;transition;label
35;GT;Intro
257;GT;Intro
258;C;AS
1209;C;
1410;C;
1506;C;
1590;C;
1707;C;
1782;C;
1857;C;
1920;C;
2153;C;
2310;C;
2392;C;
2637;C;
2851;C;
3010;C;
3200;C;
3358;C;
3472;C;
3940;C;AS
4402;C;
4427;C;Diagrams
4757;GT;Diagrams
4928;C;
5015;C;
5144;C;
5395;C;
5527;C;
5638;C;
5899;C;
6013;C;
6096;C;
6155;C;
6565;C;
6620;C;
6680;C;
6766;C;
7121;C;
7256;C;
7369;C;AS
8066;C;
8238;C;
8294;C;
8363;C;
8423;C;
8556;C;
8642;C;
8814;C;
8990;C;
9222;C;
9297;C;
9366;C;
9439;C;
9514;C;
9592;C;
9688;C;
9945;C;
10007;C;
10046;C;
10500;C;AS
11655;C;
11717;C;
11795;C;
11878;C;
11965;C;
12140;C;
12377;C;
12588;C;
12677;C;
12758;C;
12928;C;
12984;C;
13060;C;
13196;C;
13360;C;
13708;C;
13885;C;
13950;C;
14007;C;AS
14337;C;
14607;C;
14657;C;
14810;C;AS
15283;C;
15381;GT;
15495;GT;
15632;GT;
15740;GT;
15876;GT;
15953;C;
16091;C;
16209;C;
16304;C;
16421;C;
16457;C;AS
17299;C;
17435;C;
17557;C;
17622;C;
17693;C;
17769;C;
17898;C;
17964;C;
18011;C;
18180;C;
18237;C;
18313;C;
18387;C;
18445;C;
18484;C;
18523;C;
18810;C;
19001;C;
19068;C;
19154;C;
19288;C;
19469;C;
19555;C;AS
19782;C;
20069;C;
20125;C;
20239;C;
20351;C;
20424;C;
20430;C;AS
20628;C;
20810;C;
20864;C;
20916;C;
20986;C;
21048;C;
21117;C;
21174;C;
21227;C;
21313;C;AS
21458;C;Weather
23020;C;AS
23323;C;Extro
